Shop,Location,"Crowdfunding
Platform","Year &
Period
","Weeks 
Duration",Backers,"Avg.
Pledge ≈","Threshold
& Goal","Total
Funded
($ € %)"
"<a href=""https://www.kaufs-lose.de/"" target=""_blank"">Kauf's Lose

(Unverpackt Marburg)

<img src=""https://www.bepakt.com/images/logo_kaufslose.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Marburg","<a href=""https://www.startnext.com/kaufslose"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2018

8Nov-16Dec",5.5,483,€59,"Goal 1: €25,000

Goal 2: €55,000","€28,621

= 114% of Goal 1"
"<a href=""https://www.precyclenyc.com"" target=""_blank"">Precycle
<b>

<img src=""https://www.bepakt.com/images/logo_precycle.png"" height=80 width=80></a>","United States

<img src=""https://www.bepakt.com/images/flags/united_states.gif"" width=30 height=18>

Brooklyn, New York City","<a href=""https://www.indiegogo.com/projects/precycle-nyc"" target=""_blank"">Indiegogo

<img src=""https://www.bepakt.com/images/logo_cf_indiegogo_320x160.png"" width=80 height=40></a>","2018

Oct23-Dec22",9,127,€92,"Goal: $30,000
(flexible)","$11,655

= 39% of Flexible Goal"
"<a href=""http://ecocumbria.co.uk"" target=""_blank"">Eco Cumbria

(mostly non-food zero-waste products)

<img src=""https://www.bepakt.com/images/logo_eco_cumbria.png"" height=80 width=80></a>","United Kingdom

<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" width=30 height=18>

Cumbria","<a href=""https://www.crowdfunder.co.uk/eco-cumbria"" target=""_blank"">Crowdfunder

<img src=""https://www.bepakt.com/images/logo_cf_crowdfunder.png"" width=80 height=40></a>","2018

2Sep-28Oct",8,97,"£33
($42)
(€37)","Goal: £3,000
(≈€3390)
(≈$3845)","£3,225 
(≈€3645)
(≈$4135)

101% of Goal


"
"<a href=""https://www.facebook.com/ripplezerowaste/"" target=""_blank"">Ripple Living

<img src=""https://www.bepakt.com/images/logo_ripple.jpg"" height=80 width=80></a>","United Kingdom

<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" width=30 height=18>

Cardiff","<a href=""https://www.kickstarter.com/projects/215432144/ripple-cardiffs-first-not-for-profit-zero-waste-st/"" target=""_blank"">Kickstarter

<img src=""https://www.bepakt.com/images/logo_cf_kickstarter_320x160.png"" width=80 height=40></a>","2018

16Jul-30Jul",2,1413,"£24

(≈ €27)
(≈ $31)","Goal: £33,000

(≈ €37315)
(≈ $42310)","£33,312 

(≈ €37668)
(≈ $42710)

101% of Goal"
"<a href=""http://bern-unverpackt.ch"" target=""_blank"">Bern Unverpackt
<b><span style=""color:purple"">(campaign 2)</span></b>

<img src=""https://www.bepakt.com/images/logo_bern_unverpackt.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Bern","<a href=""https://wemakeit.com/projects/bern-unverpackt"" target=""_blank"">wemakeit

<img src=""https://www.bepakt.com/images/logo_cf_wemakeit_320x160.png"" width=80 height=40></a>","2018

6Jun-16Jul",6,165,"CHF 85
(≈ €75 / $88)","Goal: CHF 14’000
(≈ €12,000 / $14,200)
","CHF 14’615
(≈ €13,000 / $15,100)

104% of Goal"
"<a href=""https://projektubanka.lv/projects/turza"" target=""_blank"">TURZA

<img src=""https://www.bepakt.com/images/logo_turza.png"" height=80 width=80></a>","Latvia

<img src=""https://www.bepakt.com/images/flags/latvia.png"" width=25 height=25>

Riga","<a href=""https://projektubanka.lv/projects/turza"" target=""_blank"">Projectu Banka

<img src=""https://www.bepakt.com/images/logo_cf_projectu_banka_320x160.png"" width=80 height=40></a>","2018

16Apr-17May",4,580,€18,"Goal: €10,000 ","€10,475

105% of Goal"
"<a href=""https://www.facebook.com/unverpacktduesseldorf"" target=""_blank"">Unverpackt Düsseldorf

<img src=""https://www.bepakt.com/images/logo_unverpackt_duesseldorf.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Düsseldorf","<a href=""https://www.startnext.com/unverpacktduesseldorf"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2018

5Apr-6May",4,384,€43,"Goal 1: €15,000

Goal 2: €45,000","€16,371

105% of Goal 1"
"<a href=""http://bern-unverpackt.ch"" target=""_blank"">Bern Unverpackt
<b><span style=""color:purple"">(campaign 1)</span></b>

<img src=""https://www.bepakt.com/images/logo_bern_unverpackt.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Bern","<a href=""https://coopfunding.net/en/campaigns/bern-unverpackt/"" target=""_blank"">CoopFunding

<img src=""https://bepakt.com/wp-content/uploads/2018/03/CoopFunding.png"" width=80 height=40></a>","2018

3Mar-5Jun",13.5,109,€163,"Goal:
€25,000 ","€17,780

<span style=""color:red"">71% of Threshold</span>"
"Ecosjop

<img src=""https://www.bepakt.com/images/logo_ecosjop.png"" height=80 width=80>","Netherlands

<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=30 height=18>

Deventer","<a href=""https://voorjebuurt.nl/nl/projects/verpakkingsvrijdeventer"" target=""_blank"">Voor je Buurt

<img src=""https://www.bepakt.com/images/logo_cf_voorjebuurt_320x160.png"" width=80 height=40></a>","2017-2018

8Dec-22Jan",6.5,57,€40,"Goal: €9,000","€2,235

<span style=""color:red"">25% of Goal</span>"
"<a href=""https://www.facebook.com/EpicerieBioUnverpacktBremen"" target=""_blank"">L'Epicerie Bio 

<img src=""https://www.bepakt.com/images/logo_epicerie_bio.png"" height=80 width=80></a>


","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Bremen","<a href=""https://www.startnext.com/lepicerie-bio"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017-2018

1Dec-15Jan",6.5,246,€62,"Goal 1
€12,000 

Goal 2
€30,000","€15,310

128% of Goal 1"
"<a href=""https://www.nurinpur.de"" target=""_blank"">nurINpur

<img src=""https://www.bepakt.com/images/logo_nur_in_pur.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Ingolstadt","<a href=""https://www.startnext.com/en/nurinpur"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017-2018

28Nov-14Jan",6.5,313,€86,"Goal 1
€22,000

Goal 2
€35,000","€26,773

122% of Goal 1"
"<a href=""http://www.frea-store.com"" target=""_blank"">FREA

<img src=""https://www.bepakt.com/images/logo_frea.png"" height=80 width=80></a>
","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Berlin","<a href=""https://www.startnext.com/en/frea"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017-2018

26Nov-14Jan

",5.5,110,€52,"First Goal: €5,000

Goal: €25,000","€5,695

114% of Threshold 1
"
"<a href=""http://wunderbar-unverpackt.de"" target=""_blank"">Wunderbar Unverpackt

<img src=""https://www.bepakt.com/images/logo_wunderbar_unverpackt.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Göttingen","<a href=""https://www.startnext.com/wunderbarunverpacktgoettingen"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017-2018

25Nov-14Jan",7,383,€131,"Goal: €50,000","€50,075

100% of Goal
"
"<a href=""http://www.nadagrocery.com/"" target=""_blank"">Nada

<img src=""https://www.bepakt.com/images/logo_nada.png"" height=80 width=80></a>","Canada

<img src=""https://www.bepakt.com/images/flags/canada.png"" width=30 height=18>

Vancouver","<a href=""https://www.wayblaze.com/fundable_projects/nada/"" target=""_blank"">Wayblaze

<img src=""https://www.bepakt.com/images/logo_cf_wayblaze_320x160.png"" width=80 height=40></a>","2017

15Nov-15Dec",4.5,499,"$111 CAD
(≈€70/$90)","First Goal: $25,000 CAD (raised in 24 hrs)

Second Goal: $40,000 CAD (raised in one week)

Third Goal:
$50,000 CAD ","Total Funded: $55,555 CAD
(≈€36,427)

222% of Goal 2"
"<a href=""http://www.abfuellbar-wendland.de"" target=""_blank"">Abfüll-Bar Wendland

<img src=""https://www.bepakt.com/images/logo_abfuellbar.png"" height=80 width=80></a>
","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Dannenberg (Elbe)","<a href=""https://www.startnext.com/abfuellbar-wendland"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017-2018

4Nov-31Jan
&
31Jan-?May",8,225,€64,"Goal 1
€12,800

Goal 2
€17,000","€14,440

110% of Threshold 1"
"<a href=""http://www.unverpackt-reutlingen.de"" target=""_blank"">Fridi Unverpackt Reutlingen

<img src=""https://www.bepakt.com/images/logo_fridi_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Reutlingen","<a href=""https://www.startnext.com/fridi-unverpackt"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017

13Oct-21Dec",5.5,146,€83,"Threshold 1
€12,000 

Threshold 2
€30,000","€12,150

100% of Threshold 1"
"<a href=""http://www.der-sache-wegen.de"" target=""_blank""> DER SACHE WEGEN

<img src=""https://www.bepakt.com/images/logo_der_sache_wegen.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Berlin","<a href=""https://www.startnext.com/dersachewegen"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017

25Sep-22Oct",4,149,€63,"Goal: €9,000","€9,398

104% of Goal"
"<a href=""https://www.facebook.com/VracAtittude/"" target=""_blank"">Vrac'Attitude

<img src=""https://www.bepakt.com/images/logo_vracattitude.png"" height=80 width=80></a>","Belgium

<img src=""https://www.bepakt.com/images/flags/belgium.gif"" width=30 height=18>

Gerpinnes","<a href=""https://www.ulule.com/vracattitude/"" target=""_blank"">Ulule

<img src=""https://www.bepakt.com/images/logo_cf_ulule_320x160.png"" width=80 height=40></a>","2017

22Sep-26Oct",5,155,€33,"Goal: €5,000","€5,165

103% of Goal"
"<a href=""http://lieberohne.at"" target=""_blank"">Lieber Ohne 

<img src=""https://www.bepakt.com/images/logo_lieber_ohne.png"" height=80 width=80></a>","Austria

<img src=""https://www.bepakt.com/images/flags/austria.gif"" width=30 height=18>

Vienna","<a href=""https://www.startnext.com/lepicerie-bio"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017

9Aug-11Sep",4.5,179,€59,"Goal: €10,000","€10,482

105% of Goal"
"<a href=""http://in.gredients.com/"" target=""_blank"">Unverpackt Bochum (Bioku)

<img src=""https://www.bepakt.com/images/logo_bioku.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Bochum","<a href=""https://www.startnext.com/unverpackt-bochum/"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017

9Aug-9Oct",8.5,304,€38,"Goal 1: €10,000

Goal 2: €30,000","€11,646

116% of Goal 1"
"<a href=""https://www.bulkmarket.uk"" target=""_blank"">Bulk Market

<img src=""https://www.bepakt.com/images/logo_bulk_market_1000.png"" height=80 width=80></a>","United Kingdom

<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" width=30 height=18>

London","<a href=""https://www.spacehive.com/zero-waste-supermarket-london"" target=""_blank"">Spacehive

<img src=""https://www.bepakt.com/images/logo_cf_spacehive_320x160.png"" width=80 height=40></a>","2017

1Jun-22Aug",12,335,"£63
(≈ €72)","Threshold: £28,853
(≈ €32,807)","£21,187
(≈ €24,090)

<span style=""color:red"">73% of Threshold</span>"
"<a href=""https://butterblume-kassel.de"" target=""_blank"">Buterblume

<img src=""https://www.bepakt.com/images/logo_butterblume.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Kassel","<a href=""https://www.startnext.com/butterblume"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017

26May-26Jun",4,355,€93,"Goal: €25,000 ","€33,196

133% of Goal"
"<a href=""http://www.palette-bern.ch/"" target=""_blank"">Palette

<img src=""https://www.bepakt.com/images/logo_palette_bern.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Bern","<a href=""https://wemakeit.com/projects/palette-bern-unverpackt/show/news"" target=""_blank"">wemakeit

<img src=""https://www.bepakt.com/images/logo_cf_wemakeit_320x160.png"" width=80 height=40></a>","2017

11Apr-24May",6,521,"CHF 74
(≈ €65 / $80)","Goal: CHF 33’000
(≈ €30,000 / $35,000)","CHF 38’756
(≈ €34,000 / $41,000)

117% of Goal"
"<a href=""https://www.chezmamiebiovrac.com"" target=""_blank"">Unpackaged-Chez Mamie Zurich

<img src=""https://www.bepakt.com/images/logo_chez_mamie_1000.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Zurich","<a href=""https://wemakeit.com/projects/unpackaged-chez-mamie-zurich?locale=en"" target=""_blank"">wemakeit

<img src=""https://www.bepakt.com/images/logo_cf_wemakeit_320x160.png"" width=80 height=40></a>","2017

5Mar-4Apr",4,123,"98 CHF
(≈ €85 / $105)","13’700 CHF
(≈ €12,000)","12’000 CHF
(≈ €10,200)

114% of Goal"
"<a href=""http://www.frauernas.de"" target=""_blank"">Frau Ernas

<img src=""https://www.bepakt.com/images/logo_frau_ernas_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Magdeburg","<a href=""https://www.startnext.com/frauernas"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2017

31Mar-31May",8,357,€56,"Goal: €31,013

Threshold: €13,031 ","€20,136 

155% of Threshold

65% of Goal"
