Shop,Location,Open Since,Contact
"<a href=""https://www.beunpackaged.com"" target=""_blank"">Unpackaged

<img src=""https://www.bepakt.com/images/logo_unpackaged_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" style=""width:20px; padding-ppleght:2px;""> <b>United Kingdom</b>

<a href=""http://www.google.com/maps/place/Planet+Organic/@51.5893753,-0.1458636,17z/data=!3m1!4b1!4m2!3m1!1s0x48761a2decfc39d5:0xc82d8cc14dc8256f"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> London
Muswell Hill [N10 3HS]
<i>111/117 Muswell Hill Road</i>","1-Nov-2007
Islington, London
<span style=""color:orange"">(Moved  4-Dec-2014)</span>

6-Dec-2012
Hackney, London
<span style=""color:red""> (Closed 7-Jan-2014)</span>

22-Apr-2015
<span style=""color:darkgreen"">(Re-Opened)</span>
Inside <a href=""http://www.planetorganic.com/unpackaged-at-planet-organic/"" target=""_blank"">Planet Organic</a>,
Muswell Hill,
London","<a href=""http://www.beunpackaged.com/"" target=""_blank"">www.beunpackaged.com</a>

Shop consultancy:
<i>Florian Malot</i>
<a href=""oo:floriane@beunpackaged.com"">floriane@beunpackaged.com</a>

Main contact:
<i>Catherine Conway</i>
<a href=""mailto:info@beunpackaged.com"">info@beunpackaged.com</a>
<a href=""mailto:press@beunpackaged.com"">press@beunpackaged.com</a>

<a href=""https://www.facebook.com/Unpackaged/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/Unpackaged"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://instagram.com/unpackaged/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.linkedin.com/vsearch/p?company=Unpackaged+Innovation+Ltd"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a> <a href=""http://beunpackaged.us1.list-manage1.com/subscribe?u=8d35f2f09ea10b53d256150bc&id=2ffaf2b9c0"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_mailchimp_300.png"" width=15 height=15></a>"
"<a href=""http://www.negozioleggero.it/en"" target=""_blank"">Negozio Leggero

<img src=""https://www.bepakt.com/images/logo_negozioleggero_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Negozio+Leggero/@44.898181,8.20417,17z/data=!4m5!1m2!2m1!1snegozio+leggero+asti!3m1!1s0x4787932471870529:0x6ff9f06cf96de867"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Asti, <i>Piazza Statuto, 25</i>
<a href=""https://www.google.com/maps/place/Negozio+Leggero/@44.6948238,7.2944343,9z/data=!4m5!3m4!1s0x12d2ab75cb9fbf27:0x649f826eba522e30!8m2!3d44.69482!4d7.854737"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Bra (Cuneo), <i>Via Vittorio Emanuele II, 275</i>
 <a href=""https://www.google.com/maps/place/Negozio+Leggero/@45.460289,9.210061,17z/data=!4m5!1m2!2m1!1snegozio+leggero+milano!3m1!1s0x4786c69eb8aa737b:0xf9ac823f5307876e"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Milano, <i>Via Augusto Anfossi, 13</i>
<a href=""https://www.google.com/maps/search/morbegno+Piazza+Caduti+per+la+Libertà,+15+/@46.1317682,9.5690677,17z"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Morbegno, <i>Piazza Caduti per la Libertà, 15</i>
<a href=""https://www.google.com/maps/place/Via+Giacomo+Cusmano,+69,+90141+Palermo/@38.1272175,13.3466248,17z/data=!4m7!1m4!3m3!1s0x1319ef452f1e5f61:0xfc42160afac495ec!2sVia+Giacomo+Cusmano,+69,+90141+Palermo!3b1!3m1!1s0x1319ef452f1e5f61:0xfc42160afac495ec"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Palermo,  <i>Via G. Cusmano, 69</i>
<a href=""https://www.google.it/maps/place/Negozio+Leggero/@41.8542835,12.47915,17z/data=!4m5!1m2!2m1!1sNegozio+Leggero+roma!3m1!1s0x13258a8be3dc093f:0x9f25d3b6c1a84326"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Rome  <i>Via Gabriello Chiabrera, 80</i>
<a href=""https://www.google.it/maps/place/Negozio+Leggero+Roma+Gadames/@41.9310164,12.5166584,17z/data=!3m1!4b1!4m5!3m4!1s0x132f615ad64de121:0x6cadf53313972df6!8m2!3d41.9310124!4d12.5188471"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Rome, <i>Via Gadames, 26</i>
<a href=""http://www.negozioleggero.it/en/#contatti""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Torino (x5)
<a href=""https://www.google.it/maps/place/Via+Don+Luigi+Palazzolo,+11,+24122+Bergamo+BG/@45.6911822,9.664292,17z/data=!3m1!4b1!4m2!3m1!1s0x4781510ee6f0bc57:0xdcee7b14f3fd0d4c"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Bergamo, <i>Via Don Luigi Palazzolo, 11</i>

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" style=""padding-right:2px; width:15px; height:15px""> <b>Switzerland</b>

<a href=""https://www.google.ch/maps/place/Via+Bertaro+Lambertenghi+2,+6900+Lugano/data=!4m2!3m1!1s0x47842d8b167140bd:0x69268113a9825468?sa=X&ved=0CCMQ8gEwAGoVChMI46GChI3xxwIVhD8aCh160Qvu"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Lugano, <i>Via Bertaro Lambertenghi, 2</i>","22-Apr-2009
(started in Turin)","<a href=""http://www.negozioleggero.it/en"" target=""_blank"">www.negozioleggero.it</a>
<a href=""mailto:info@negozioleggero.it"">info@negozioleggero.it</a>

<a href=""http://www.facebook.com/negozioleggero"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""http://www.twitter.com/negozioleggero"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/negozioleggero"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.linkedin.com/vsearch/p?company=Negozio+Leggero"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a>"
"<a href=""http://www.effecorta.it"" target=""_blank"">Effecorta

<img src=""https://www.bepakt.com/images/logo_effecorta_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Effecorta+Capannori+Sas/@43.8842407,10.5647489,17z/data=!4m7!1m4!3m3!1s0x12d581c06167d8b1:0xf983a4a59f27f308!2sEffecorta+Capannori+Sas!3b1!3m1!1s0x12d581c06167d8b1:0xf983a4a59f27f308?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Capannori 
<a href=""https://www.google.com/maps/place/Effecorta+Milano/@45.518004,9.169844,17z/data=!3m1!4b1!4m2!3m1!1s0x4786c0931646a9cd:0x56ab6c40f3dfa909?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Milan
<a href=""https://www.google.com/maps/place/Effecorta+-+Filiera+corta+e+prodotti+alla+spina/@45.3992497,11.8713036,19z/data=!4m13!1m7!3m6!1s0x477eda52aa334709:0x55049d44bdd5381d!2sVia+Roberto+Marin,+20,+35122+Padova+PD,+Italië!3b1!8m2!3d45.3992301!4d11.8716968!3m4!1s0x477eda52aa334709:0xe3854aca26c3ab2a!8m2!3d45.3992301!4d11.8716968!6m1!1e1"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Padova
<a href=""https://www.google.com/maps/place/Effecorta+Bologna/@44.5004454,11.355625,17z/data=!3m1!4b1!4m5!3m4!1s0x477fd4af881fa845:0x96dbeec8dfd102e4!8m2!3d44.5004454!4d11.3578137"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Bologna","29-Aug-2009
(first shop in Capannori)","<a href=""http://effecorta.it"" target=""_blank"">www.effecorta.it</a>
<a href=""mailto:info@effecorta.it"">info@effecorta.it</a>
+39(0)583-407332 

<a href=""https://www.facebook.com/search/top/?q=effecorta"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/EffecortaMilano"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>"
"<a href=""http://www.shopgreen11.com"" target=""_blank"">Green11

<img src=""https://www.bepakt.com/images/logo_green11_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_states.gif"" style=""width:20px; padding-right:2px;""> <b>United States </b>

<a href=""https://www.google.com/maps/place/Green+11/@37.7516125,-122.4336792,17z/data=!4m7!1m4!3m3!1s0x808f7e130a35fbcb:0xd224fed8aaaac9db!2s3980+24th+St,+San+Francisco,+CA+94114!3b1!3m1!1s0x808f7e130b81ad61:0x7b5fe788703cfed0"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> San Francisco
<a href=""https://www.google.com/maps/place/178+South+Blvd,+San+Mateo,+CA+94402/@37.555439,-122.3132463,17z/data=!3m1!4b1!4m2!3m1!1s0x808f9e5f88c20fe7:0x7b27523db3bd2f81"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> San Mateo","26-Sep-2009

<b><span style=""color:red"">Closed May 2017</span></b>","<a href=""http://www.shopgreen11.com"" target=""_blank"">www.shopgreen11.com</a>

<a href=""https://www.facebook.com/Green11-The-llll-Place-59935717719/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/shopgreen11"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://plus.google.com/+Shopgreen11Refill/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googleplus_150.png"" width=15 height=15></a> <a href=""http://www.shopgreen11.com/yelp/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_yelp.png"" width=15 height=15></a> <a href=""https://www.linkedin.com/company-beta/2239882?pathWildcard=2239882"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a>


 
"
"<a href=""http://mammanatura.eu"" target=""_blank"">Mamma Natura

<img src=""https://bepakt.com/images/logo_mamma_natura.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/Mamma+Natura/@45.4928459,9.2340477,17z/data=!3m1!4b1!4m5!3m4!1s0x4786c701cedfa147:0xb3544492ebc0b01e!8m2!3d45.4928422!4d9.2362364"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Milano [20132]
<i>Via Carnia, 7</i>",(?)-(?)-2010,"<a href=""http://www.mammanatura.eu"" target=""_blank"">www.mammanatura.eu</a>
<a href=""mailto:info@mammanatura.eu"">info@mammanatura.eu</a>
+39 02 3655 0682

<a href=""https://www.facebook.com/mammanatura.it/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/mammanatura/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>
"
"<a href=""https://www.pesonetto.it"" target=""_blank"">PesoNetto

<img src=""https://bepakt.com/images/logo_pesonetto.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/Pesonetto/@43.9045678,12.8876103,17z/data=!3m1!4b1!4m5!3m4!1s0x132d1eb1b75606af:0xf4b01641746ccb29!8m2!3d43.904573!4d12.889798"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Pesaro [61122]
<i>Largo Ascoli Piceno, 11</i>

",18-Dec-2010,"<a href=""https://www.pesonetto.it"" target=""_blank"">www.pesonetto.it</a>
<a href=""mailto:info@pesonetto.it"">info@pesonetto.it</a>
+39 0721 405198

<a href=""https://www.facebook.com/pesonetto/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/pesonetto"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> "
"<a href=""http://simplybulkmarket.webs.com""  target=""_blank"">Simply Bulk Market

<img src=""https://www.bepakt.com/images/logo_simplybulkmarket_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_states.gif"" style=""width:20px; padding-right:2px;""> <b>United States </b>

<a href=""https://www.google.com/maps/place/Simply+Bulk+Market/@40.166176,-105.1044746,17z/data=!3m1!4b1!4m2!3m1!1s0x876bf90acae9f81b:0x2585b6e4b6cc1c07"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Longmont, Co [80501]
<i>418 Main St</i>",10(?)-Mar-2010,"<a href=""http://www.simplybulkmarket.com""  target=""_blank"">www.simplybulkmarket.com</a>

<a href=""http://www.facebook.com/Simply-Bulk-Market-401030005210/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://www.linkedin.com/vsearch/f?keywords=%22Simply+Bulk+Market%22"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a>"
"<a href=""http://www.sesi.org.uk""  target=""_blank"">SESI

<img src=""https://www.bepakt.com/images/logo_sesi_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" style=""width:20px; padding-right:2px;""> <b>United Kingdom</b>

<a href=""https://www.google.com/maps/place/Cowley+Road+Methodist+Church/@51.7489974,-1.2400333,18.4z/data=!4m7!1m4!3m3!1s0x4876c14e0a84f85f:0x849ac72aded9567b!2sJeune+St,+Oxford,+Oxfordshire+OX4+1BN,+Verenigd+Koninkrijk!3b1!3m1!1s0x0000000000000000:0xfa2d70ac549bdb00""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Oxford [OX4 1BN]
<i>East Oxford Methodist Church
Jeune Street</i>","1?-Jan-2011
(Pop-Up Shop)

(Depot from 2006)","<a href=""http://www.sesi.org.uk"" target=""_blank"">www.sesi.org.uk</a>
<i>Rina Melendez</i>
<a href=""mailto:inbox@sesi.org.uk"">inbox@sesi.org.uk</a>
+44 77 58 21 86 02

<a href=""https://www.facebook.com/sesi.oxford""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/SESIOxford""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> "
"<a href=""http://www.lapebianca.it"" target=""_blank"">L'Apebianca

<img src=""https://bepakt.com/images/logo_lapebianca.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Via+Francesco+Lami,+2,+47121+Forlì+FC/@44.2035917,12.073786,18z/data=!4m5!3m4!1s0x132ca7f8ee2467a3:0xa6d899a7deaa9972!8m2!3d44.2036585!4d12.073786?hl=it-IT"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a>Forlì [47121]
<i>Via Francesco Lami, 2</i>

","18-Feb-2011

<span style=""color:red""> (Closed ?-Mar-2017(?))</span>

","<a href=""http://www.lapebianca.it"" target=""_blank"">www.lapebianca.it</a>
<a href=""mailto:info@lapebianca.it"">info@lapebianca.it</a>
+39 0543-1802646

<a href=""https://www.facebook.com/lapebianca/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://www.vinenvrac.fr"" target=""_blank"">En Vrac

<img src=""https://www.bepakt.com/images/logo_envrac_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/En+Vrac/@48.890046,2.361553,14z/data=!4m7!1m4!3m3!1s0x47e66e7b760e659f:0xde20cbf185090d37!2s2+Rue+l'Olive,+75018+Paris,+France!3b1!3m1!1s0x47e66e7b7849035d:0xe1805f824cc6e0a7"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Paris [75018]
<i>2 rue de l’Olive</i>

<a href=""https://www.google.com/maps/place/En+Vrac/@48.890046,2.361553,14z/data=!4m7!1m4!3m3!1s0x47e66e7b760e659f:0xde20cbf185090d37!2s2+Rue+l'Olive,+75018+Paris,+France!3b1!3m1!1s0x47e66e7b7849035d:0xe1805f824cc6e0a7"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Paris [75009]
<i>48 rue Notre Dame de Lorette</i>",1(?)-Mar-2011,"<a href=""http://www.vinenvrac.fr"" target=""_blank"">www.vinenvrac.fr</a>
<a href=""mailto:contact@vinenvrac.fr"">contact@vinenvrac.fr</a>
+33 1 53 26 03 94
(rue Olive...)
01 44 63 06 01
(rue Notre...)

<a href=""https://www.facebook.com/en.vrac.3"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/envracparis"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""http://instagram.com/envracparis/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> "
